model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
mistral,normal,education,some schooling,4.0,486,-0.3171705400262988,-0.3124958635854771,-0.2335465260940091,-0.19605955861764918,-0.08362401393228963,-0.058216146627677934,0.19135802469135801,0.0
mistral,normal,education,some schooling,6.0,486,-0.31636940691351495,-0.30435189801531737,-0.23149390684178614,-0.19912581065414114,-0.0848755000717288,-0.06154909978866252,0.21193415637860083,0.0
mistral,normal,education,some schooling,8.0,486,-0.3144401384364487,-0.30059094868902714,-0.22931426128293697,-0.1941854114890739,-0.0851258771535117,-0.06446991026512708,0.20987654320987653,0.0
mistral,normal,education,some schooling,10.0,486,-0.3141174368125652,-0.30307825643690733,-0.22909542429247665,-0.1949877191231759,-0.08502201252008858,-0.06662223249999999,0.20987654320987653,0.0
mistral,normal,education,some schooling,12.0,486,-0.31265013952731346,-0.2963701108222081,-0.2276340851212304,-0.19172730065076915,-0.08501605440608312,-0.06332214108473727,0.20987654320987653,0.0
mistral,normal,education,some schooling,14.0,486,-0.3127125645735396,-0.29695085993905623,-0.22776350308717028,-0.19265757085079588,-0.08494906148636927,-0.0632876421024246,0.2139917695473251,0.0
mistral,normal,education,some schooling,16.0,486,-0.31238028769101217,-0.29237027776924757,-0.2273139385661943,-0.18983647100334802,-0.08506634912481792,-0.06446452078137091,0.2139917695473251,0.0
mistral,normal,education,some schooling,18.0,486,-0.3116931446041839,-0.2872644571059399,-0.2269606568871411,-0.18439308038625216,-0.0847324877170428,-0.06420195334807702,0.2139917695473251,0.0
mistral,normal,education,some schooling,20.0,486,-0.31103920803076734,-0.28257375829286635,-0.2262970145014067,-0.1822855054053269,-0.08474219352936066,-0.06442081092705214,0.21193415637860083,0.0
mistral,normal,education,high school,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,education,high school,2.0,486,-0.14013156174378807,-0.10512082985316443,-0.09379143769301561,-0.07693440586906358,-0.046340124050772466,-0.016918120715798235,0.14609053497942387,0.0
mistral,normal,education,high school,4.0,486,-0.0476242184892963,-0.03890439938256823,-0.001815857978377913,-0.01029435944330076,-0.04580836051091838,-0.017771155797195723,0.12139917695473251,0.0
mistral,normal,education,high school,6.0,486,-0.016342854783254472,-0.0205334648796813,0.029385654555679836,0.023328049538961504,-0.0457285093389343,-0.018383454999999937,0.11934156378600823,0.0
mistral,normal,education,high school,8.0,486,-0.0005799457587285515,-0.011899466689595448,0.04510755454567404,0.028698599613991738,-0.0456875003044026,-0.018338858068799854,0.12551440329218108,0.0
mistral,normal,education,high school,10.0,486,0.006947149750156073,-0.007413802365842215,0.05261074073686275,0.032251828787192544,-0.045663590986706686,-0.018383454999999826,0.12551440329218108,0.0
mistral,normal,education,high school,12.0,486,0.013174231533012483,-0.003023056313668643,0.0588395630289683,0.03668439623007336,-0.045665331495955815,-0.018383454999999826,0.12551440329218108,0.0
