attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
education,Less than high school,High school graduate,steered,10.0,Steered N=10,Q3,121,242,0.1744355733262929,0.38016528925619836,0.3181818181818182,0.4380165289256198,0.38016528925619836,0.38016528925619836,0.3333333333333333,0.04683195592286504,-0.015151515151515138,0.1046831955922865,0.05547226386806597
education,Less than high school,High school graduate,steered,10.0,Steered N=10,Q4,122,244,0.3434245913780245,0.4262295081967213,0.36475409836065575,0.4918032786885246,0.4262295081967213,0.4262295081967213,0.3333333333333333,0.09289617486338797,0.03142076502732244,0.15846994535519127,0.0024987506246876563
education,Less than high school,College graduate/some postgrad,steered,10.0,Steered N=10,All,486,972,0.25089930296449475,0.345679012345679,0.32098765432098764,0.3734567901234568,0.34670781893004116,0.3461934156378601,0.3333333333333333,0.012860082304526788,-0.012345679012345678,0.04012345679012347,0.16841579210394803
education,Less than high school,College graduate/some postgrad,steered,10.0,Steered N=10,Q1,121,242,0.06905410319135591,0.2975206611570248,0.24793388429752067,0.3512396694214876,0.30165289256198347,0.29958677685950413,0.3333333333333333,-0.03374655647382918,-0.08539944903581265,0.020024104683195317,0.894552723638181
education,Less than high school,College graduate/some postgrad,steered,10.0,Steered N=10,Q2,122,244,0.15552976945782074,0.3401639344262295,0.2908811475409836,0.39344262295081966,0.3401639344262295,0.3401639344262295,0.3333333333333333,0.0068306010928961824,-0.04245218579234971,0.06010928961748635,0.4192903548225887
education,Less than high school,College graduate/some postgrad,steered,10.0,Steered N=10,Q3,121,242,0.26784469192948973,0.34710743801652894,0.29338842975206614,0.40082644628099173,0.34710743801652894,0.34710743801652894,0.3333333333333333,0.01377410468319562,-0.03994490358126718,0.06749311294765842,0.26786606696651677
education,Less than high school,College graduate/some postgrad,steered,10.0,Steered N=10,Q4,122,244,0.5098170094858034,0.3975409836065574,0.3524590163934426,0.4426229508196721,0.3975409836065574,0.3975409836065574,0.3333333333333333,0.06420765027322406,0.01912568306010931,0.10928961748633881,0.0074962518740629685
education,Less than high school,High school graduate,steered,12.0,Steered N=12,All,486,972,0.1685863093397156,0.3816872427983539,0.35288065843621397,0.411522633744856,0.3816872427983539,0.3816872427983539,0.3333333333333333,0.048353909465020606,0.019547325102880653,0.07818930041152267,0.0009995002498750624
education,Less than high school,High school graduate,steered,12.0,Steered N=12,Q1,121,242,0.05022713243882999,0.38016528925619836,0.3181818181818182,0.44214876033057854,0.38016528925619836,0.38016528925619836,0.3333333333333333,0.04683195592286504,-0.015151515151515138,0.10881542699724522,0.06646676661669165
education,Less than high school,High school graduate,steered,12.0,Steered N=12,Q2,122,244,0.10533572781477823,0.3401639344262295,0.28688524590163933,0.38934426229508196,0.3401639344262295,0.3401639344262295,0.3333333333333333,0.0068306010928961824,-0.046448087431693985,0.05601092896174864,0.40229885057471265
