attribute,channel,layer,decoder_layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint,rank
gender,controlling,21,20,0.8583333333333333,0.8583333333333334,0.8582939705473743,0.38814647992451984,0.5,0.3583333333333333,50,1920,480,gender_probe_at_layer_21.pth,12
gender,controlling,20,19,0.8520833333333333,0.8520833333333333,0.852067281606077,0.41994285335143405,0.5,0.3520833333333333,48,1920,480,gender_probe_at_layer_20.pth,13
gender,controlling,19,18,0.79375,0.79375,0.7930953407265176,0.4774175708492597,0.5,0.29374999999999996,46,1920,480,gender_probe_at_layer_19.pth,14
gender,controlling,18,17,0.75,0.75,0.7488839285714286,0.5300348401069641,0.5,0.25,44,1920,480,gender_probe_at_layer_18.pth,15
gender,controlling,1,0,0.7479166666666667,0.7479166666666667,0.7477842095892374,0.6865984400113424,0.5,0.24791666666666667,46,1920,480,gender_probe_at_layer_1.pth,16
gender,controlling,17,16,0.74375,0.74375,0.7429366354480975,0.5169304112593333,0.5,0.24375000000000002,50,1920,480,gender_probe_at_layer_17.pth,17
gender,controlling,16,15,0.73125,0.73125,0.729075786148387,0.5419673770666122,0.5,0.23124999999999996,45,1920,480,gender_probe_at_layer_16.pth,18
gender,controlling,3,2,0.7145833333333333,0.7145833333333333,0.713057706992473,0.6643262654542923,0.5,0.21458333333333335,36,1920,480,gender_probe_at_layer_3.pth,19
gender,controlling,13,12,0.7145833333333333,0.7145833333333333,0.7142248740825079,0.5764495233694712,0.5,0.21458333333333335,49,1920,480,gender_probe_at_layer_13.pth,20
gender,controlling,15,14,0.7125,0.7124999999999999,0.7123751628310899,0.5708440442879995,0.5,0.21250000000000002,48,1920,480,gender_probe_at_layer_15.pth,21
gender,controlling,14,13,0.7083333333333334,0.7083333333333334,0.7080088987764181,0.5741248428821564,0.5,0.20833333333333337,48,1920,480,gender_probe_at_layer_14.pth,22
gender,controlling,5,4,0.7020833333333333,0.7020833333333333,0.7017921146953405,0.6292624821265539,0.5,0.20208333333333328,45,1920,480,gender_probe_at_layer_5.pth,23
gender,controlling,9,8,0.7020833333333333,0.7020833333333334,0.7011377143827475,0.6092666188875834,0.5,0.20208333333333328,49,1920,480,gender_probe_at_layer_9.pth,24
gender,controlling,8,7,0.7,0.7,0.6999947915762426,0.6119899451732635,0.5,0.19999999999999996,49,1920,480,gender_probe_at_layer_8.pth,25
gender,controlling,11,10,0.7,0.7,0.699812382739212,0.598089928428332,0.5,0.19999999999999996,50,1920,480,gender_probe_at_layer_11.pth,26
gender,controlling,10,9,0.6979166666666666,0.6979166666666667,0.6979048660754977,0.6030468245347341,0.5,0.19791666666666663,49,1920,480,gender_probe_at_layer_10.pth,27
gender,controlling,6,5,0.6958333333333333,0.6958333333333333,0.6954949944382648,0.6208948691685995,0.5,0.1958333333333333,50,1920,480,gender_probe_at_layer_6.pth,28
gender,controlling,4,3,0.69375,0.69375,0.6927779301696775,0.6462162931760153,0.5,0.19374999999999998,50,1920,480,gender_probe_at_layer_4.pth,29
gender,controlling,12,11,0.69375,0.69375,0.6937486707841614,0.5893246680498123,0.5,0.19374999999999998,48,1920,480,gender_probe_at_layer_12.pth,30
gender,controlling,7,6,0.6875,0.6875,0.6874511642444132,0.6164757460355759,0.5,0.1875,50,1920,480,gender_probe_at_layer_7.pth,31
gender,controlling,2,1,0.6729166666666667,0.6729166666666666,0.6713633449769092,0.6813657830158869,0.5,0.17291666666666672,29,1920,480,gender_probe_at_layer_2.pth,32
gender,controlling,0,-1,0.5,0.5,0.3333333333333333,0.6931471178929011,0.5,0.0,24,1920,480,gender_probe_at_layer_0.pth,33
age,controlling,32,31,0.97375,0.97375,0.9737148167777481,0.06279827374964952,0.25,0.72375,44,3200,800,age_probe_at_layer_32.pth,1
age,controlling,31,30,0.97,0.97,0.969981148319677,0.06619211379438639,0.25,0.72,50,3200,800,age_probe_at_layer_31.pth,2
age,controlling,27,26,0.9675,0.9675,0.9675979468693889,0.07887857779860497,0.25,0.7175,45,3200,800,age_probe_at_layer_27.pth,3
age,controlling,24,23,0.96625,0.9662499999999999,0.9663079099310543,0.08496248535811901,0.25,0.71625,47,3200,800,age_probe_at_layer_24.pth,4
age,controlling,29,28,0.96625,0.9662499999999999,0.9662466640416502,0.07626746594905853,0.25,0.71625,41,3200,800,age_probe_at_layer_29.pth,5
age,controlling,30,29,0.96625,0.9662499999999999,0.9663174006799213,0.07077271398156881,0.25,0.71625,45,3200,800,age_probe_at_layer_30.pth,6
age,controlling,23,22,0.965,0.965,0.9650841866589526,0.08722619153559208,0.25,0.715,45,3200,800,age_probe_at_layer_23.pth,7
age,controlling,25,24,0.965,0.965,0.9651015725120505,0.0857936404645443,0.25,0.715,41,3200,800,age_probe_at_layer_25.pth,8
age,controlling,28,27,0.965,0.965,0.965106672773639,0.07639473304152489,0.25,0.715,48,3200,800,age_probe_at_layer_28.pth,9
age,controlling,26,25,0.96375,0.96375,0.9637547887954625,0.08074678853154182,0.25,0.71375,47,3200,800,age_probe_at_layer_26.pth,10
age,controlling,22,21,0.95875,0.95875,0.9587766275938319,0.0889668632298708,0.25,0.70875,50,3200,800,age_probe_at_layer_22.pth,11
age,controlling,21,20,0.9575,0.9575,0.9575942150422931,0.09437227621674538,0.25,0.7075,48,3200,800,age_probe_at_layer_21.pth,12
age,controlling,20,19,0.95,0.95,0.9500648162144112,0.10344447568058968,0.25,0.7,50,3200,800,age_probe_at_layer_20.pth,13
age,controlling,19,18,0.94125,0.9412499999999999,0.9413112480017467,0.1146661601960659,0.25,0.69125,49,3200,800,age_probe_at_layer_19.pth,14
age,controlling,18,17,0.93,0.9299999999999999,0.9298613562256286,0.13999436423182487,0.25,0.68,50,3200,800,age_probe_at_layer_18.pth,15
age,controlling,16,15,0.92875,0.92875,0.9283636113128166,0.1545511893928051,0.25,0.67875,48,3200,800,age_probe_at_layer_16.pth,16
age,controlling,17,16,0.925,0.925,0.9249554887810842,0.13956499099731445,0.25,0.675,49,3200,800,age_probe_at_layer_17.pth,17
age,controlling,15,14,0.915,0.915,0.9152204456086317,0.1834115907549858,0.25,0.665,46,3200,800,age_probe_at_layer_15.pth,18
age,controlling,14,13,0.91125,0.91125,0.9113270402827365,0.19225086271762848,0.25,0.66125,50,3200,800,age_probe_at_layer_14.pth,19
age,controlling,13,12,0.90625,0.90625,0.9059259563602317,0.20232568308711052,0.25,0.65625,50,3200,800,age_probe_at_layer_13.pth,20
age,controlling,12,11,0.88375,0.88375,0.8832957529987543,0.22281666845083237,0.25,0.63375,50,3200,800,age_probe_at_layer_12.pth,21
age,controlling,10,9,0.88125,0.88125,0.8808763926297054,0.24102747812867165,0.25,0.63125,50,3200,800,age_probe_at_layer_10.pth,22
age,controlling,9,8,0.8725,0.8725,0.8713020375351691,0.26463939994573593,0.25,0.6225,47,3200,800,age_probe_at_layer_9.pth,23
age,controlling,11,10,0.87125,0.87125,0.8706663303121779,0.24074246734380722,0.25,0.62125,49,3200,800,age_probe_at_layer_11.pth,24
age,controlling,8,7,0.86625,0.86625,0.8653202471037396,0.27089571207761765,0.25,0.61625,48,3200,800,age_probe_at_layer_8.pth,25
age,controlling,6,5,0.8575,0.8574999999999999,0.8570220229386816,0.31066418439149857,0.25,0.6075,49,3200,800,age_probe_at_layer_6.pth,26
age,controlling,7,6,0.8575,0.8574999999999999,0.8567449346449121,0.28825127333402634,0.25,0.6075,50,3200,800,age_probe_at_layer_7.pth,27
age,controlling,5,4,0.83875,0.83875,0.838177010238606,0.34510721266269684,0.25,0.58875,50,3200,800,age_probe_at_layer_5.pth,28
age,controlling,3,2,0.82875,0.82875,0.8271354119842658,0.4303591772913933,0.25,0.57875,49,3200,800,age_probe_at_layer_3.pth,29
age,controlling,4,3,0.8225,0.8225,0.8219420261094151,0.4020066037774086,0.25,0.5725,49,3200,800,age_probe_at_layer_4.pth,30
age,controlling,2,1,0.77375,0.7737499999999999,0.7695901046037492,0.49626149237155914,0.25,0.52375,48,3200,800,age_probe_at_layer_2.pth,31
age,controlling,1,0,0.67875,0.67875,0.6546556788702748,0.5408470779657364,0.25,0.42874999999999996,50,3200,800,age_probe_at_layer_1.pth,32
age,controlling,0,-1,0.25,0.25,0.1,0.5746653378009796,0.25,0.0,50,3200,800,age_probe_at_layer_0.pth,33
education,controlling,32,31,0.9333333333333333,0.9333333333333332,0.9336614465177341,0.177518669101927,0.3333333333333333,0.6000000000000001,48,3599,900,education_probe_at_layer_32.pth,1
education,controlling,31,30,0.9311111111111111,0.931111111111111,0.9311939538223823,0.15727983911832175,0.3333333333333333,0.5977777777777777,46,3599,900,education_probe_at_layer_31.pth,2
education,controlling,30,29,0.9277777777777778,0.9277777777777777,0.9277980432661694,0.166181238161193,0.3333333333333333,0.5944444444444446,46,3599,900,education_probe_at_layer_30.pth,3
education,controlling,29,28,0.9233333333333333,0.9233333333333333,0.9231901471357018,0.17580157021681467,0.3333333333333333,0.5900000000000001,50,3599,900,education_probe_at_layer_29.pth,4
education,controlling,27,26,0.9155555555555556,0.9155555555555556,0.9152338266972414,0.1809390899207857,0.3333333333333333,0.5822222222222222,50,3599,900,education_probe_at_layer_27.pth,5
education,controlling,26,25,0.9111111111111111,0.9111111111111111,0.9111434378806801,0.1838874121507009,0.3333333333333333,0.5777777777777777,50,3599,900,education_probe_at_layer_26.pth,6
