qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GUNLOCKED2_W26,socioeco,low,"Less than $30,000",declared,,0.29183441032999574,0.29183441032999574
GUNLOCKED2_W26,socioeco,mid,"$50,000-$75,000",declared,,0.49988222318109066,0.49988222318109066
GUNLOCKED2_W26,socioeco,high,"$100,000 or more",declared,,0.18182006092902403,0.18182006092902403
GUNRESPKIDSD_W26,gender,male,Male,declared,,1.0499125678451502,0.5940271412306375
GUNRESPKIDSD_W26,gender,female,Female,declared,,0.6654461994515144,0.40066762355625796
GUNRESPKIDSD_W26,age,adult,30-49,declared,,0.7337146793211876,0.47609883320920227
GUNRESPKIDSD_W26,age,older_adult,65+,declared,,0.601666013124365,0.2997716523738864
GUNRESPKIDSD_W26,education,some schooling,Less than high school,declared,,0.6290438108575442,0.28006501906344866
GUNRESPKIDSD_W26,education,high school,High school graduate,declared,,0.5667056700000002,0.36426475999999997
GUNRESPKIDSD_W26,education,college and more,College graduate/some postgrad,declared,,0.2761259420415478,0.21991297400267062
GUNRESPKIDSD_W26,socioeco,low,"Less than $30,000",declared,,0.4000103800044962,0.33830405110702133
GUNRESPKIDSD_W26,socioeco,mid,"$50,000-$75,000",declared,,0.3001317790547223,0.20167427734767635
GUNRESPKIDSD_W26,socioeco,high,"$100,000 or more",declared,,0.3523753656427506,0.291124288643408
GUNRESPKIDSE_W26,gender,male,Male,declared,,0.768020603848695,0.53496060117699
GUNRESPKIDSE_W26,gender,female,Female,declared,,0.3360761300679326,0.25995089452775133
GUNRESPKIDSE_W26,age,adult,30-49,declared,,0.45785107316305895,0.3990636574630789
GUNRESPKIDSE_W26,age,older_adult,65+,declared,,0.26566167028992477,0.1928205988814206
GUNRESPKIDSE_W26,education,some schooling,Less than high school,declared,,0.8546414649438296,0.3570497409467144
GUNRESPKIDSE_W26,education,high school,High school graduate,declared,,0.2755233778477225,0.21279446053762496
GUNRESPKIDSE_W26,education,college and more,College graduate/some postgrad,declared,,0.33992227896429217,0.22829825291710182
GUNRESPKIDSE_W26,socioeco,low,"Less than $30,000",declared,,0.3379449867662919,0.2960883820289257
GUNRESPKIDSE_W26,socioeco,mid,"$50,000-$75,000",declared,,0.5352055824759663,0.2559266158758633
GUNRESPKIDSE_W26,socioeco,high,"$100,000 or more",declared,,0.4690354442180678,0.2497582769638595
GUNRESPNOKIDSA_W26,gender,male,Male,declared,,0.37935004188031374,0.3549070856741804
