attribute,class_label,group,n_questions,wasserstein_mean,wasserstein_median,wasserstein_std,total_variation_mean,total_variation_median,total_variation_std,channel,magnitude
education,high school,High school graduate,494,0.5064167568189438,0.4141308104178257,0.3688082630159329,0.3581739434701187,0.3277279394718652,0.18357546043532547,steered,9.0
education,high school,High school graduate,494,0.5867686494271075,0.5234106945168293,0.38628224513303827,0.40042957254000594,0.4029912059720856,0.16334763497634638,steered,13.0
education,college and more,College graduate/some postgrad,494,0.616655573870073,0.5489579701178058,0.4012982079771317,0.43382831187585325,0.4269240242940891,0.18308212784595024,steered,0.0
education,college and more,College graduate/some postgrad,494,0.6354405675841254,0.5732035968105239,0.41466768626690786,0.43391818392896425,0.43963032349834913,0.1857874031367034,steered,1.0
education,college and more,College graduate/some postgrad,494,0.6524109338591216,0.5563573833675433,0.4461101852430351,0.41519021729157624,0.4163878770595615,0.19397393006647684,steered,3.0
education,college and more,College graduate/some postgrad,494,0.6082374217126929,0.5109987669761594,0.4109768860580042,0.37981094252838876,0.37383372918904445,0.17504243889874374,steered,5.0
education,college and more,College graduate/some postgrad,494,0.5371608607292712,0.4659278203597632,0.34118806864819473,0.35464055416527734,0.3363570300447276,0.15361606621604634,steered,7.0
education,college and more,College graduate/some postgrad,494,0.490886268025668,0.45327457289397843,0.29685987523866847,0.35113764892063976,0.3366696595121711,0.15314139201649132,steered,9.0
education,college and more,College graduate/some postgrad,494,0.449056790330102,0.40880915178034194,0.25856104938616975,0.34785030049663646,0.33276148423709073,0.15862669972843485,steered,13.0
socioeco,low,"Less than $30,000",494,0.6085666269555954,0.5451495546929492,0.4013666411603216,0.41885524683959036,0.4170817425132017,0.17454111184222895,steered,0.0
socioeco,low,"Less than $30,000",494,0.589962282426744,0.5417554928879222,0.3851694904486284,0.4147418815521731,0.41368893901046266,0.1710599768233987,steered,1.0
socioeco,low,"Less than $30,000",494,0.5677222837898093,0.5189897378831075,0.36936500216311824,0.40634379831904915,0.39796016236444776,0.1680869033288387,steered,3.0
socioeco,low,"Less than $30,000",494,0.5556095740966267,0.4932348740289416,0.36876904356267004,0.3968884337375192,0.39399877577239295,0.1742239753255654,steered,5.0
socioeco,low,"Less than $30,000",494,0.5619484733256507,0.5081674277859279,0.374798550563539,0.402075993007528,0.3994989507020953,0.1807851961958793,steered,7.0
socioeco,low,"Less than $30,000",494,0.5736637815554875,0.5168501259247484,0.37987803795930747,0.41494311458534755,0.4125146133190209,0.18222136832602231,steered,9.0
socioeco,low,"Less than $30,000",494,0.5866577353003033,0.5261177314993635,0.3715563702848364,0.4362730531239215,0.44279431912293454,0.1789375546360676,steered,13.0
socioeco,mid,"$50,000-$75,000",494,0.6125391595107694,0.5642358175283138,0.3967409247509904,0.43027633622704237,0.431086260933708,0.1802365972874303,steered,0.0
socioeco,mid,"$50,000-$75,000",494,0.6161785793834478,0.5656542740756038,0.40792324428680454,0.4214373491508461,0.4243187612764342,0.1822491518787281,steered,1.0
socioeco,mid,"$50,000-$75,000",494,0.6177748373388567,0.5522951923693775,0.4292264872987114,0.3971301979152679,0.3817808977652922,0.1839850501075671,steered,3.0
