attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
education,steered,12.0,Steered N=12,college and more,486,-0.06965635446412545,0.016327549909819505,-0.0648026675539606,0.6728395061728395
education,steered,14.0,Steered N=14,college and more,486,-0.06773784247925059,0.016328522544227512,-0.06286690500000008,0.668724279835391
education,steered,16.0,Steered N=16,college and more,486,-0.06699831148264063,0.016261757077277405,-0.06313747000000003,0.6666666666666666
education,steered,18.0,Steered N=18,college and more,486,-0.06542381068152694,0.01623647313972206,-0.06381826374999991,0.6728395061728395
education,steered,20.0,Steered N=20,college and more,486,-0.06440614692666286,0.016265834964256827,-0.06193793750000007,0.6625514403292181
socioeco,declared,,Declared,low,486,-0.012640789910954499,0.020584824530540727,0.003575006394452712,0.49382716049382713
socioeco,steered,0.0,Neutral (N=0),low,486,0.037201915424987526,0.019252926276563973,0.024003027510127894,0.43004115226337447
socioeco,steered,2.0,Steered N=2,low,486,0.03696008154137852,0.01917068048635934,0.024920967510128053,0.43209876543209874
socioeco,steered,4.0,Steered N=4,low,486,0.03643003682661434,0.01927377271685752,0.02400302751012795,0.43209876543209874
socioeco,steered,6.0,Steered N=6,low,486,0.036238903914713703,0.01940403561433758,0.02140253854591931,0.43209876543209874
socioeco,steered,8.0,Steered N=8,low,486,0.038125213369328434,0.019621149128764212,0.024003027510127783,0.43209876543209874
socioeco,steered,10.0,Steered N=10,low,486,0.03775299241979953,0.01969759678593475,0.023219233774740305,0.43415637860082307
socioeco,steered,12.0,Steered N=12,low,486,0.03819365269535851,0.019783201312438773,0.022665636638979553,0.43004115226337447
socioeco,steered,14.0,Steered N=14,low,486,0.037316848024285164,0.0198207107039958,0.025125330010128025,0.4279835390946502
socioeco,steered,16.0,Steered N=16,low,486,0.03605947979132879,0.02001808586373944,0.02655452250000012,0.4218106995884774
socioeco,steered,18.0,Steered N=18,low,486,0.035708830739604715,0.020364953387087572,0.023219233774740416,0.43209876543209874
socioeco,steered,20.0,Steered N=20,low,486,0.03495187722635354,0.02055313762373077,0.0220709212747405,0.43209876543209874
