attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
education,steered,20.0,Steered N=20,college and more,486,0.03729941812318878,0.014981435632362199,0.03441003730862319,0.3991769547325103
socioeco,declared,,Declared,low,486,-0.010952126078340807,0.018652845576617838,-0.016082117081735015,0.5596707818930041
socioeco,steered,0.0,Neutral (N=0),low,486,-0.002046282743640884,0.018605631166539377,-0.018041729608680376,0.5699588477366255
socioeco,steered,2.0,Steered N=2,low,486,-0.014619126197364895,0.01637671751521111,-0.018300602300063307,0.5781893004115226
socioeco,steered,4.0,Steered N=4,low,486,-0.024271299669383163,0.01588522119950974,-0.02670206972216549,0.5987654320987654
socioeco,steered,6.0,Steered N=6,low,486,-0.02869326510187151,0.016224056569259657,-0.03313342759416013,0.602880658436214
socioeco,steered,8.0,Steered N=8,low,486,-0.02742381130028193,0.01692147013394974,-0.028961114424276513,0.588477366255144
socioeco,steered,10.0,Steered N=10,low,486,-0.022846521346428613,0.01714768919324022,-0.022400993774740585,0.5905349794238683
socioeco,steered,12.0,Steered N=12,low,486,-0.025678803754636367,0.01735239248148395,-0.023515903652232134,0.5864197530864198
socioeco,steered,14.0,Steered N=14,low,486,-0.03101876720308715,0.018172082012206225,-0.021602474965045887,0.5843621399176955
socioeco,steered,16.0,Steered N=16,low,486,-0.03287758193462969,0.0191166878062219,-0.022289777632459068,0.5802469135802469
socioeco,steered,18.0,Steered N=18,low,486,-0.03383893363888696,0.020131578531298027,-0.018095242252230415,0.5679012345679012
socioeco,steered,20.0,Steered N=20,low,486,-0.036316208523680414,0.020995557248639454,-0.016128501279064372,0.5617283950617284
socioeco,declared,,Declared,high,486,-0.008217097594435339,0.01786172890972478,0.015363507627823375,0.448559670781893
socioeco,steered,0.0,Neutral (N=0),high,486,0.002046282743640884,0.018605631166539377,0.018041729608680376,0.43004115226337447
socioeco,steered,2.0,Steered N=2,high,486,0.0012586092506393027,0.018821966990639163,0.015914165000000008,0.43415637860082307
socioeco,steered,4.0,Steered N=4,high,486,0.0036982137370616857,0.01950393433909945,0.02133689754396162,0.42386831275720166
socioeco,steered,6.0,Steered N=6,high,486,0.007042840657425722,0.019559599143469386,0.019444574394710437,0.42386831275720166
socioeco,steered,8.0,Steered N=8,high,486,0.012000626718162698,0.019118157079629564,0.022648396564138168,0.4279835390946502
socioeco,steered,10.0,Steered N=10,high,486,0.021448053431242342,0.018517205615225078,0.02318250579430156,0.4094650205761317
socioeco,steered,12.0,Steered N=12,high,486,0.029600937047280007,0.018364882239302976,0.02970112601180057,0.3765432098765432
socioeco,steered,14.0,Steered N=14,high,486,0.03832757950198816,0.01837076178048479,0.036885980761168016,0.38271604938271603
socioeco,steered,16.0,Steered N=16,high,486,0.04478205461950728,0.018043877267734293,0.036594157857746626,0.3662551440329218
socioeco,steered,18.0,Steered N=18,high,486,0.047141430244151565,0.01731096755489138,0.04032425925661612,0.3724279835390947
socioeco,steered,20.0,Steered N=20,high,486,0.04861976847589576,0.016663484804591774,0.04140216640102967,0.35802469135802467
